Annotation Type,Location,Starred?,Annotation,Author,Title
Highlight (Yellow),Location 82,,"We learned that leadership requires belief in the mission and unyielding perseverance to achieve victory, particularly when doubters question whether victory is even possible."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 165,,“Relax. Look around. Make a call.”," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 214,,"The only meaningful measure for a leader is whether the team succeeds or fails. For all the definitions, descriptions, and characterizations of leaders, there are only two that matter: effective and ineffective. Effective leaders lead successful teams that accomplish their mission and win. Ineffective leaders do not. The"," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 220,,"For leaders, the humility to admit and own mistakes and develop a plan to overcome them is essential to success. The best leaders are not driven by ego or personal agendas. They are simply focused on the mission and how best to accomplish it."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 279,,"they must believe in the cause for which they are fighting. They must believe in the plan they are asked to execute, and most important, they must believe in and trust the leader they are asked to follow. This"," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 298,,Extreme Ownership. Leaders must own everything in their world. There is no one else to blame.," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 509,,"If an individual on the team is not performing at the level required for the team to succeed, the leader must train and mentor that underperformer. But if the underperformer continually fails to meet standards, then a leader who exercises Extreme Ownership must be loyal to the team and the mission above any individual. If underperformers cannot improve, the leader must make the tough call to terminate them and hire others who can get the job done. It is all on the leader."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 608,,"During the debrief after a training mission, those good SEAL leaders took ownership of failures, sought guidance on how to improve, and figured out a way to overcome challenges on the next iteration."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 757,,"the most fundamental and important truths at the heart of Extreme Ownership: there are no bad teams, only bad leaders."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 767,,"If we could execute with a monumental effort just to reach an immediate goal that everyone could see, we could then continue to the next visually attainable goal and then the next."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 835,,"it’s not what you preach, it’s what you tolerate. When setting expectations, no matter what has been said or written, if substandard performance is accepted and no one is held accountable—if there are no consequences—that poor performance becomes the new standard."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 837,,"Therefore, leaders must enforce standards. Consequences for failing need not be immediately severe, but leaders must ensure that tasks are repeated until the higher expected standard is achieved."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 877,,"But I learned that good leaders don’t make excuses. Instead, they figure out a way to get it done and win.”"," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 1018,,"In the SEAL Teams, the bond of our brotherhood is our strongest weapon."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 1095,,"Once I analyzed the mission and understood for myself that critical piece of information, I could then believe in the mission. If I didn’t believe in it, there was no way I could possibly convince the SEALs in my task unit to believe in it."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 1142,,"If frontline leaders and troops understand why, they can move forward, fully believing in what they are doing."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 1152,,"The leader must explain not just what to do, but why. It is the responsibility of the subordinate leader to reach out and ask if they do not understand. Only when leaders at all levels understand and believe in the mission can they pass that understanding and belief to their teams so that they can persevere through challenges, execute and win."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 1248,,"If you don’t understand or believe in the decisions coming down from your leadership, it is up to you to ask questions until you understand how and why those decisions are being made. Not"," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 1521,,"“If you approached it as he did something wrong, and he needs to fix something, and he is at fault, it becomes a clash of egos and you two will be at odds. That’s human nature. But, if you put your own ego in check, meaning you take the blame, that will allow him to actually see the problem without his vision clouded by ego."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 1962,,It is critical to keep plans and communication simple.," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 2199,,"had to remain calm, step back from my immediate emotional reaction, and determine the greatest priority for the team. Then, rapidly direct the team to attack that priority."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 2241,,"To do this, SEAL combat leaders utilize Prioritize and Execute. We verbalize this principle with this direction: “Relax, look around, make a call.”"," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 2264,,"evaluate the highest priority problem. • lay out in simple, clear, and concise terms the highest priority effort for your team. • develop and determine a solution, seek input from key leaders and from the team where possible. • direct the execution of that solution, focusing all efforts and resources toward this priority task. • move on to the next highest priority problem. Repeat. • when priorities shift within the team, pass situational awareness both up and down the chain. • don’t let the focus on one priority cause target fixation. Maintain the ability to see other problems developing and rapidly shift as needed."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 2530,,"Human beings are generally not capable of managing more than six to ten people, particularly when things go sideways and inevitable contingencies arise."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 2803,,"The planning process and briefing must be a forum that encourages discussion, questions, and clarification from even the most junior personnel. If frontline troops are unclear about the plan and yet are too intimidated to ask questions, the team’s ability to effectively execute the plan radically decreases."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 2829,,"A leader’s checklist for planning should include the following: • Analyze the mission. —Understand higher headquarters’ mission, Commander’s Intent, and endstate (the goal). —Identify and state your own Commander’s Intent and endstate for the specific mission. • Identify personnel, assets, resources, and time available. • Decentralize the planning process. —Empower key leaders within the team to analyze possible courses of action. • Determine a specific course of action. —Lean toward selecting the simplest course of action. —Focus efforts on the best course of action. • Empower key leaders to develop the plan for the selected course of action. • Plan for likely contingencies through each phase of the operation. • Mitigate risks that can be controlled as much as possible. • Delegate portions of the plan and brief to key junior leaders. —Stand back and be the tactical genius. • Continually check and question the plan against emerging information to ensure it still fits the situation. • Brief the plan to all participants and supporting assets. —Emphasize Commander’s Intent. —Ask questions and engage in discussion and interaction with the team to ensure they understand. • Conduct post-operational debrief after execution. —Analyze lessons learned and implement them in future planning."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 3121,,And it is paramount that senior leaders explain to their junior leaders and troops executing the mission how their role contributes to big picture success.," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 3202,,"“If they have questions, it is our fault for not properly communicating the information they need. We have to lead them.”"," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 3247,,"Take responsibility for leading everyone in your world, subordinates and superiors alike. • If someone isn’t doing what you want or need them to do, look in the mirror first and determine what you can do to better enable this. • Don’t ask your leader what you should do, tell them what you are going to do."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 3511,,Many operated with a “wait and see” approach. But experience had taught me that the picture could never be complete. There was always some element of risk. There was no 100-percent right solution.," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 3648,,"say “first alarm clock” because I have three, as I was taught by one of the most feared and respected instructors in SEAL training: one electric, one battery powered, one windup."," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
Highlight (Yellow),Location 3663,,The best SEALs I worked with were invariably the most disciplined. They woke up early. They worked out every day. They studied tactics and technology. They practiced their craft.," Jocko Willink, Leif Babin",Extreme Ownership: How U.S. Navy Seals Lead And Win
